ID,Age,Gender,Education,Country,Ethics,Neuroticism,Extraversion,Cannabis_Consumption,Ecstasy_Consumption,Alcohol_Consumption,Cocaine_Consumption
207,20.0,M,University Degree,0.96,-0.32,-0.05,1.29,Used Last Year,Never Used,Never Used,CL0
208,40.0,M,Professional Cert.,0.96,-0.32,-0.68,0.48,Used Last Year,Used >10 Years,Used 1-2 Years,CL1
209,37.0,M,University Degree,0.96,-0.32,0.14,0.0,Used 1-2 Years,Used >10 Years,Used >10 Years,CL0
210,25.0,F,Master’s Degree,0.96,5.00,-1.44,0.48,Never Used,Never Used,Never Used,CL0
211,33.0,M,Some College,0.96,-0.32,0.74,0.17,Used 2-5 Years,Never Used,Never Used,CL0
212,47.0,M,,0.96,-0.32,-0.68,-0.58,Used Last Year,Never Used,Never Used,CL0
213,33.0,M,Professional Cert.,0.96,-0.32,0.14,0.64,Used Last Month,Used >10 Years,Used >10 Years,CL0
214,45.0,M,Professional Cert.,0.21,-0.32,0.52,-0.15,Used Last Year,Never Used,Never Used,CL1
215,28.0,M,Professional Cert.,0.96,-0.32,-0.15,1.11,Used Last Year,Never Used,Never Used,CL0
216,33.0,M,University Degree,0.25,-0.32,1.6,-0.3,Used Last Year,Used 5-10 Years,Never Used,CL0
217,30.0,M,,0.96,-0.32,0.22,1.11,Used Last Year,Used >10 Years,Used >10 Years,CL0
218,44.0,F,,0.96,-0.32,1.23,0.81,Used 5-10 Years,Used >10 Years,Used >10 Years,CL1
219,27.0,M,,-0.29,-0.32,0.31,1.11,Used 1-2 Years,Never Used,Never Used,CL0
220,39.0,M,,0.96,-0.32,-0.35,-0.58,Used Last Month,Used >10 Years,Used >10 Years,CL1
221,20.0,M,University Degree,0.96,-0.32,0.83,-0.3,Used Last Year,Never Used,Used 5-10 Years,CL0
222,30.0,M,University Degree,0.96,-0.32,-0.15,0.48,Used 2-5 Years,Never Used,Never Used,CL0
223,38.0,M,University Degree,0.96,-0.32,-0.25,0.64,Used Last Month,Used 5-10 Years,Never Used,CL0
224,60.0,F,University Degree,0.96,-0.32,-1.19,1.11,Used >10 Years,Never Used,Never Used,CL0
225,46.0,M,University Degree,0.96,-0.32,-0.47,1.45,Used Last Year,Never Used,Never Used,CL0
226,44.0,M,University Degree,0.96,-0.32,-1.33,0.64,Used Last Month,Used >10 Years,Never Used,CL0
227,54.0,M,University Degree,0.96,-0.32,-0.47,0.48,Used Last Year,Never Used,Never Used,CL0
228,20.0,F,Some College,0.96,-0.32,0.22,0.96,Used Last Year,Never Used,Never Used,CL0
229,52.0,F,Master’s Degree,0.96,-0.32,-0.68,0.32,Used Last Month,Used >10 Years,Used >10 Years,CL1
230,53.0,M,University Degree,0.96,-0.32,-1.05,1.45,Used Last Month,Never Used,Never Used,CL0
231,39.0,M,Professional Cert.,0.96,-0.32,1.02,-2.21,Used Last Year,Never Used,Never Used,CL2
233,27.0,M,University Degree,0.96,-0.32,0.04,1.29,Used Last Year,Used >10 Years,Never Used,CL0
234,51.0,F,University Degree,0.96,-0.32,-0.68,0.81,Used Last Month,Never Used,Never Used,CL0
235,34.0,M,University Degree,0.96,-0.32,0.42,0.96,Used 1-2 Years,Never Used,Never Used,CL0
236,30.0,M,Professional Cert.,0.96,-0.32,0.04,0.96,Used Last Year,Never Used,Never Used,CL3
237,26.0,M,Master’s Degree,0.96,-0.32,1.49,0.32,Used Last Month,Never Used,Never Used,CL0
238,25.0,M,,0.96,-0.32,0.91,-0.15,Used Last Year,Used >10 Years,Used >10 Years,CL0
239,21.0,M,,0.96,-0.32,0.52,-0.15,Used 1-2 Years,Never Used,Never Used,CL0
240,50.0,M,Professional Cert.,0.96,-0.32,-1.87,0.64,Used Last Year,Never Used,Never Used,CL0
241,43.0,M,Master’s Degree,0.96,5.00,0.63,-1.23,Used 1-2 Years,Never Used,Never Used,CL0
242,26.0,M,,-0.29,5.00,2.13,-1.23,Used Last Year,Never Used,Never Used,CL0
243,21.0,M,Some College,0.96,-0.32,1.49,-1.51,Used Last Year,Never Used,Never Used,CL0
244,31.0,M,University Degree,0.96,-0.32,-0.58,1.11,Used Last Year,Used 2-5 Years,Used >10 Years,CL2
245,42.0,F,University Degree,0.96,-0.32,1.98,-1.51,Used Last Year,Never Used,Never Used,CL3
246,30.0,M,Some College,0.96,-0.32,-0.25,-0.95,Used Last Year,Used >10 Years,Never Used,CL0
247,33.0,M,Professional Cert.,0.96,-0.32,1.37,-0.7,Used Last Year,Never Used,Never Used,CL2
248,51.0,F,Master’s Degree,0.96,-0.32,-0.92,-0.3,Used Last Month,Never Used,Never Used,CL0
249,52.0,M,Doctorate Degree,0.96,-0.32,-2.42,0.17,Used Last Year,Never Used,Never Used,CL0
250,51.0,M,Professional Cert.,0.96,-0.32,1.13,0.32,Used Last Year,Never Used,Never Used,CL0
252,44.0,M,University Degree,0.96,-0.32,0.63,-0.95,Used 1-2 Years,Never Used,Never Used,CL0
253,19.0,M,Master’s Degree,0.96,-0.32,-1.44,0.96,Used Last Year,Never Used,Never Used,CL0
254,45.0,M,Doctorate Degree,0.96,-0.32,-0.79,0.17,Used Last Month,Never Used,Never Used,CL0
255,34.0,F,Professional Cert.,0.96,-0.32,1.37,-0.7,Used 1-2 Years,Never Used,Never Used,CL0
256,35.0,M,Master’s Degree,0.96,-0.32,-1.19,1.74,Used Last Year,Used >10 Years,Never Used,CL0
257,18.0,M,Some College,0.96,-0.32,-0.47,0.64,Used 1-2 Years,Used 5-10 Years,Never Used,CL0
258,39.0,F,Doctorate Degree,0.96,-0.32,0.04,0.0,Used 1-2 Years,Used >10 Years,Used >10 Years,CL1
261,50.0,M,Professional Cert.,0.96,-0.32,-0.47,0.96,Used Last Year,Never Used,Never Used,CL0
262,64.0,F,University Degree,0.96,-0.32,-0.68,-0.44,Used 5-10 Years,Never Used,Used >10 Years,CL2
263,45.0,F,Master’s Degree,0.96,-0.5,-0.92,0.81,Used 2-5 Years,Never Used,Never Used,CL0
264,58.0,M,,0.96,-0.32,-1.05,0.0,Used Last Year,Never Used,Never Used,CL0
265,21.0,M,University Degree,0.96,-0.32,-0.47,0.17,Used Last Year,Never Used,Never Used,CL0
266,44.0,M,University Degree,0.96,-1.11,-0.25,0.0,Used 5-10 Years,Never Used,Never Used,CL0
267,58.0,F,University Degree,0.96,-0.32,-1.19,-0.15,Used Last Month,Used >10 Years,Never Used,CL0
268,39.0,F,Professional Cert.,0.96,-1.11,-0.92,1.45,Used Last Month,Never Used,Never Used,CL0
269,49.0,M,Master’s Degree,0.96,-0.32,-1.05,1.74,Used Last Month,Never Used,Never Used,CL0
270,42.0,M,Master’s Degree,0.96,-1.11,-0.92,0.17,Used 1-2 Years,Never Used,Never Used,CL2
271,51.0,M,Master’s Degree,0.96,-0.32,-2.34,2.13,Used Last Month,Never Used,Never Used,CL0
272,47.0,M,Master’s Degree,0.96,-0.32,0.74,-0.7,Used Last Month,Used >10 Years,Used >10 Years,CL0
274,30.0,M,University Degree,0.96,-0.32,12.0,0.17,Used Last Month,Used 2-5 Years,Used 2-5 Years,CL4
275,36.0,F,Master’s Degree,0.96,-0.32,12.0,0.96,Used Last Month,Used >10 Years,Used Last Month,CL5
276,40.0,M,Master’s Degree,0.96,-0.32,0.42,-0.44,Used 1-2 Years,Never Used,Never Used,CL0
277,57.0,F,Doctorate Degree,0.96,-0.32,-0.92,0.48,Used Last Month,Never Used,Never Used,CL0
278,25.0,F,Some College,0.96,-0.32,-1.05,1.45,Used Last Year,Used 5-10 Years,Used 5-10 Years,CL2
279,49.0,M,University Degree,0.96,-0.32,-0.25,-0.44,Used Last Year,Never Used,Never Used,CL0
280,51.0,F,Master’s Degree,0.96,-0.32,-1.33,0.81,Used Last Year,Used >10 Years,Never Used,CL2
281,57.0,F,Master’s Degree,0.96,-0.32,-0.05,0.17,Used Last Month,Never Used,Never Used,CL0
282,47.0,M,Some College,0.96,-0.32,0.04,-0.3,Used Last Year,Never Used,Never Used,CL1
283,51.0,M,Master’s Degree,0.96,-0.32,-0.05,0.0,Used Last Year,Never Used,Never Used,CL0
284,49.0,F,University Degree,0.96,-0.32,-0.92,1.58,Used Last Month,Never Used,Never Used,CL0
285,40.0,F,Professional Cert.,-0.29,-0.32,-1.19,-0.81,Used 2-5 Years,Used 5-10 Years,Used 5-10 Years,CL3
286,39.0,F,University Degree,0.96,-0.32,-0.92,1.29,Used Last Year,Never Used,Never Used,CL0
288,47.0,F,Master’s Degree,0.96,-0.32,0.31,0.32,Used 2-5 Years,Never Used,Never Used,CL2
289,33.0,F,Some College,0.96,-0.32,0.63,0.32,Used Last Month,Never Used,Never Used,CL0
290,34.0,M,Master’s Degree,0.96,-0.32,-2.05,0.64,Used 1-2 Years,Never Used,Used >10 Years,CL0
291,41.0,M,Professional Cert.,0.96,-1.11,-0.92,0.96,Never Used,Never Used,Never Used,CL0
292,36.0,M,Some College,0.96,-0.32,0.63,-1.09,Used Last Year,Used >10 Years,Never Used,CL0
293,49.0,M,Professional Cert.,0.96,-0.32,-0.05,-0.15,Used 2-5 Years,Never Used,Never Used,CL0
295,32.0,M,Professional Cert.,0.96,-0.32,1.13,0.0,Used 2-5 Years,Used >10 Years,Used >10 Years,CL0
296,18.0,M,,0.96,-0.32,-0.35,0.48,Used Last Year,Never Used,Never Used,CL0
297,35.0,F,Professional Cert.,0.96,-0.32,1.37,-0.44,Used Last Year,Never Used,Used >10 Years,CL4
300,36.0,M,University Degree,0.96,-0.32,0.14,-0.3,Used Last Year,Never Used,Never Used,CL0
301,42.0,M,Professional Cert.,-0.57,-0.32,0.83,-0.95,Used Last Year,Never Used,Never Used,CL0
302,25.0,M,Some College,-0.57,-0.32,-0.25,-0.44,Used 2-5 Years,Never Used,Never Used,CL0
303,38.0,M,Doctorate Degree,0.96,-0.32,0.52,-0.44,Used Last Month,Never Used,Never Used,CL0
304,58.0,M,Professional Cert.,0.96,-0.32,-0.15,0.64,Used Last Month,Never Used,Never Used,CL1
305,53.0,M,University Degree,0.96,-0.32,-0.35,0.0,Used Last Month,Never Used,Never Used,CL0
306,53.0,M,University Degree,0.96,-0.32,-1.05,-2.32,Used 1-2 Years,Used >10 Years,Used 5-10 Years,CL0
307,43.0,F,Master’s Degree,0.96,-0.32,0.22,-1.23,Used Last Year,Never Used,Used >10 Years,CL0
308,49.0,F,Master’s Degree,0.96,-0.32,-0.47,-0.58,Used Last Year,Never Used,Never Used,CL0
309,35.0,M,,0.96,-0.32,-1.69,0.81,Used Last Year,Never Used,Never Used,CL0
310,41.0,F,Master’s Degree,0.96,-0.32,-0.79,0.17,Used Last Month,Never Used,Never Used,CL0
311,51.0,M,University Degree,0.96,-0.32,-1.33,-0.15,Used 2-5 Years,Never Used,Never Used,CL0
312,18.0,M,,0.96,-0.32,1.13,-0.58,Used 2-5 Years,Never Used,Never Used,CL0
313,48.0,M,Master’s Degree,0.96,-0.32,-0.35,0.0,Used Last Month,Never Used,Never Used,CL1
314,31.0,M,Master’s Degree,0.96,-0.32,0.04,1.74,Used Last Year,Used >10 Years,Used >10 Years,CL0
315,18.0,M,,0.21,-0.32,-0.58,0.17,Used Last Year,Never Used,Never Used,CL0
316,48.0,M,Doctorate Degree,0.96,-0.32,-0.79,0.81,Used Last Year,Never Used,Never Used,CL0
317,55.0,M,University Degree,0.96,-0.32,-0.47,0.81,Used Last Year,Used >10 Years,Never Used,CL0
318,43.0,F,University Degree,0.96,-1.11,79.0,1.94,Used Last Year,Never Used,Never Used,CL0
319,27.0,M,Professional Cert.,0.96,-0.32,79.0,0.0,Used 5-10 Years,Never Used,Never Used,CL0
320,47.0,M,,0.96,Nan,0.31,-0.3,Used 1-2 Years,Never Used,Never Used,CL0
321,48.0,M,University Degree,0.96,-0.32,0.74,-0.3,Used Last Year,Never Used,Never Used,CL0
322,40.0,M,Some College,0.96,-0.32,0.52,-0.3,Used Last Year,Never Used,Never Used,CL0
323,18.0,M,University Degree,0.96,-0.32,-0.79,0.48,Used Last Year,Never Used,Used 5-10 Years,CL0
324,46.0,F,,0.96,-0.32,0.91,-1.09,Used Last Month,Used >10 Years,Used >10 Years,CL0
325,26.0,M,Doctorate Degree,0.96,-0.32,0.22,0.0,Used Last Year,Never Used,Never Used,CL0
326,37.0,M,Professional Cert.,0.96,-0.32,-0.79,1.29,Used Last Year,Never Used,Never Used,CL0
327,41.0,F,,0.96,-0.32,-0.58,-1.63,Used Last Month,Used 2-5 Years,Used 5-10 Years,CL0
328,40.0,F,Master’s Degree,0.96,-0.32,-1.87,1.58,Used Last Month,Never Used,Never Used,CL0
329,31.0,M,Professional Cert.,0.96,-0.32,0.22,-0.3,Used Last Year,Never Used,Never Used,CL2
330,46.0,F,Professional Cert.,0.96,-0.32,-0.35,0.48,Used 1-2 Years,Never Used,Never Used,CL1
331,54.0,M,Professional Cert.,0.96,-0.32,,0.48,Used >10 Years,Never Used,Never Used,CL0
332,42.0,F,,0.96,-0.32,,-0.44,Used Last Month,Used 5-10 Years,Used 5-10 Years,CL2
333,62.0,M,,0.25,-0.32,-0.47,-0.44,Never Used,Never Used,Never Used,CL0
334,22.0,M,Some College,0.96,-0.32,2.82,-1.92,Used Last Month,Never Used,Used 2-5 Years,CL0
337,33.0,M,Master’s Degree,0.96,-0.32,0.42,-0.58,Used Last Month,Never Used,Never Used,CL0
338,53.0,M,Master’s Degree,0.96,-1.11,0.63,0.17,Used Last Year,Never Used,Never Used,CL0
339,53.0,M,Professional Cert.,0.25,-0.32,-0.58,0.32,Used Last Year,Used >10 Years,Used >10 Years,CL2
340,35.0,F,Doctorate Degree,0.96,-0.32,-1.87,1.29,Used Last Month,Never Used,Never Used,CL0
341,47.0,M,Professional Cert.,0.96,-0.32,-0.15,-0.3,Used Last Year,Never Used,Never Used,CL0
342,37.0,M,Master’s Degree,0.96,-0.32,-0.47,1.11,Used Last Year,Never Used,Never Used,CL0
343,63.0,M,Professional Cert.,0.96,-0.32,-1.69,0.96,Used Last Year,Never Used,Never Used,CL0
344,61.0,M,Professional Cert.,0.96,-0.32,0.63,0.0,Used >10 Years,Never Used,Never Used,CL1
345,21.0,M,,0.96,-0.32,0.22,-0.15,Used Last Year,Used 5-10 Years,Used 2-5 Years,CL6
346,40.0,M,Master’s Degree,0.96,-0.32,-1.87,0.17,Used >10 Years,Used >10 Years,Used >10 Years,CL1
347,36.0,M,University Degree,0.96,-0.32,0.04,0.48,Used 5-10 Years,Used 5-10 Years,Used 5-10 Years,CL2
348,48.0,M,University Degree,0.96,-0.32,-0.15,1.74,Used Last Month,Used >10 Years,Never Used,CL0
349,47.0,F,Master’s Degree,0.96,-0.32,-0.92,0.81,Used 5-10 Years,Used 5-10 Years,Used >10 Years,CL2
350,50.0,F,Professional Cert.,0.96,-1.11,-0.58,0.32,Used Last Month,Never Used,Never Used,CL4
351,54.0,F,University Degree,0.96,-0.32,0.52,-0.7,Used Last Year,Used >10 Years,Used >10 Years,CL1
352,37.0,M,Some College,0.96,-0.32,1.02,-0.58,Used 1-2 Years,Used 5-10 Years,Used >10 Years,CL4
353,43.0,F,Professional Cert.,0.96,-0.32,0.42,0.17,Used Last Year,Used 5-10 Years,Used >10 Years,CL4
354,50.0,F,University Degree,0.96,-0.32,-0.15,-0.7,Used >10 Years,Used >10 Years,Used >10 Years,CL1
355,25.0,F,,0.96,-0.32,-0.47,0.0,Used 5-10 Years,Used 5-10 Years,Used 5-10 Years,CL0
356,42.0,F,Professional Cert.,0.96,-0.32,0.22,-0.15,Used 5-10 Years,Used >10 Years,Used >10 Years,CL2
357,27.0,F,,0.96,-0.32,0.63,0.0,Used Last Month,Used >10 Years,Used 5-10 Years,CL3
358,48.0,F,University Degree,0.96,-0.32,-1.19,-0.15,Used Last Month,Never Used,Never Used,CL1
359,44.0,F,,0.96,-0.32,2.46,-1.23,Used 2-5 Years,Used 2-5 Years,Used >10 Years,CL1
360,35.0,F,Some College,0.96,-0.32,0.42,-0.81,Used 5-10 Years,Used 5-10 Years,Used 5-10 Years,CL2
361,25.0,M,Some College,0.96,-0.32,-0.58,1.58,Used Last Year,Used 5-10 Years,Used 5-10 Years,CL2
362,49.0,M,University Degree,0.96,-0.32,0.52,0.81,Used 5-10 Years,Used >10 Years,Used >10 Years,CL1
363,38.0,M,Professional Cert.,0.96,-0.32,0.63,0.64,Used Last Year,Used Last Year,Used 5-10 Years,CL4
364,47.0,F,University Degree,0.96,-0.32,0.42,0.32,Used 5-10 Years,Used >10 Years,Used >10 Years,CL2
365,48.0,M,Professional Cert.,0.96,-0.32,1.23,-0.15,Used Last Year,Never Used,Never Used,CL1
366,37.0,M,Doctorate Degree,0.96,-0.32,0.42,-0.15,Used Last Year,Never Used,Never Used,CL0
367,48.0,F,Professional Cert.,0.96,-0.5,-0.15,0.0,Used Last Year,Never Used,Never Used,CL1
368,42.0,M,University Degree,0.96,-0.5,-1.05,0.48,Never Used,Never Used,Never Used,CL0
369,51.0,M,University Degree,0.96,-0.32,-1.19,0.48,Used Last Year,Never Used,Never Used,CL5
370,26.0,F,Professional Cert.,0.96,-0.32,-0.05,-0.95,Used Last Month,Used >10 Years,Never Used,CL0
371,28.0,M,University Degree,0.96,-0.32,1.23,0.32,Used 2-5 Years,Used 5-10 Years,Used 5-10 Years,CL5
372,21.0,F,,0.25,-0.32,22.0,0.32,Used Last Year,Used 5-10 Years,Never Used,CL0
373,44.0,M,University Degree,0.96,-0.32,22.0,2.32,Used Last Year,Never Used,Never Used,CL3
374,21.0,M,Some College,0.96,-0.32,22.0,0.96,Used Last Day,Used 5-10 Years,Used 5-10 Years,CL0
375,46.0,F,University Degree,0.96,-0.32,-0.35,-1.76,Used Last Day,Used >10 Years,Used >10 Years,CL0
376,59.0,M,Master’s Degree,0.96,-0.32,-0.25,1.29,Used Last Month,Never Used,Never Used,CL0
378,46.0,M,Master’s Degree,0.96,-0.32,-0.92,0.0,Used Last Year,Never Used,Never Used,CL0
379,33.0,M,University Degree,0.96,-0.32,-0.47,-0.58,Used Last Year,Never Used,Never Used,CL0
380,33.0,F,Master’s Degree,-0.29,-0.32,0.83,-0.95,Never Used,Never Used,Never Used,CL0
381,53.0,M,Professional Cert.,0.96,-0.32,0.83,-0.44,Used Last Month,Never Used,Never Used,CL0
382,41.0,F,University Degree,0.96,-0.32,-0.47,1.11,Used 5-10 Years,Used 5-10 Years,Used 5-10 Years,CL2
383,37.0,F,,-0.29,-0.32,-0.35,-0.58,Used 1-2 Years,Used >10 Years,Used >10 Years,CL0
384,39.0,M,Master’s Degree,-0.29,-0.32,-0.79,0.17,Used Last Year,Never Used,Never Used,CL0
385,47.0,M,University Degree,0.96,-0.32,0.14,-0.3,Used Last Year,Never Used,Never Used,CL0
386,51.0,M,University Degree,0.96,-1.11,-0.25,0.17,Used >10 Years,Never Used,Never Used,CL0
387,34.0,F,Professional Cert.,0.96,-0.32,-0.58,-0.44,Used Last Year,Never Used,Used 5-10 Years,CL0
388,54.0,F,,0.96,-0.32,-2.05,0.48,Used 1-2 Years,Never Used,Never Used,CL0
389,29.0,F,University Degree,0.96,-1.11,-1.33,0.32,Never Used,Never Used,Never Used,CL0
390,41.0,F,Professional Cert.,0.96,-0.32,0.14,-0.3,Used 2-5 Years,Never Used,Never Used,CL0
391,30.0,F,Doctorate Degree,0.96,-0.32,-0.58,0.32,Used Last Year,Never Used,Never Used,CL0
392,39.0,M,Some College,0.96,-0.32,-0.68,-0.44,Used 5-10 Years,Never Used,Used >10 Years,CL3
393,26.0,M,University Degree,0.96,-0.32,0.63,0.0,Used Last Year,Never Used,Never Used,CL0
394,40.0,M,,0.96,-0.32,-0.47,0.32,Used Last Year,Never Used,Never Used,CL0
395,27.0,M,Professional Cert.,0.96,-0.32,-0.79,-0.15,Used Last Month,Never Used,Never Used,CL0
396,33.0,F,Professional Cert.,0.96,-0.32,-1.44,0.64,Used Last Month,Used 5-10 Years,Used >10 Years,CL0
397,36.0,F,University Degree,0.96,-0.32,0.22,1.29,Used Last Month,Used >10 Years,Used >10 Years,CL1
398,36.0,M,University Degree,0.96,-0.32,-1.87,0.64,Used Last Month,Never Used,Never Used,CL0
399,48.0,F,Professional Cert.,0.96,-0.32,0.14,0.48,Used Last Month,Never Used,Never Used,CL0
400,32.0,M,Master’s Degree,0.96,-0.32,-0.79,0.32,Used Last Month,Never Used,Never Used,CL0
401,49.0,F,Master’s Degree,0.96,-0.32,-0.92,1.29,Used >10 Years,Used >10 Years,Used >10 Years,CL0
402,25.0,M,,0.96,-0.32,-0.15,-0.15,Used 1-2 Years,Never Used,Never Used,CL0
403,50.0,F,,0.96,-0.32,0.14,-1.09,Used Last Year,Used 5-10 Years,Used 5-10 Years,CL0
404,18.0,F,Some College,0.96,-0.32,-0.92,-0.7,Used Last Year,Never Used,Never Used,CL0
405,23.0,F,University Degree,0.96,-0.32,-1.44,0.64,Used Last Year,Never Used,Never Used,CL2
406,47.0,F,,0.96,-0.32,0.91,-0.15,Used 2-5 Years,Used >10 Years,Used >10 Years,CL1
407,20.0,M,,0.96,-0.32,0.14,1.58,Used Last Year,Used 2-5 Years,Used 5-10 Years,CL3
408,49.0,M,University Degree,0.96,-0.32,1.84,-0.95,Used 2-5 Years,Used >10 Years,Never Used,CL0
409,41.0,F,,0.96,0.11,1.37,-0.15,Used Last Month,Used >10 Years,Used >10 Years,CL2
410,25.0,F,University Degree,0.96,-0.32,-0.68,0.17,Used 2-5 Years,Used >10 Years,Used >10 Years,CL1
411,38.0,M,Professional Cert.,-0.57,-0.32,-1.55,0.81,Used >10 Years,Used >10 Years,Never Used,CL2
412,54.0,F,,0.96,-0.32,1.02,-1.38,Used Last Year,Never Used,Never Used,CL3
413,44.0,M,Some College,-0.29,-0.32,-0.47,-1.51,Used 2-5 Years,Used >10 Years,Used >10 Years,CL1
414,28.0,M,University Degree,0.96,-0.32,0.14,1.11,Used Last Month,Never Used,Never Used,CL0
415,42.0,F,Some College,0.96,-0.32,0.04,-0.15,Used Last Year,Never Used,Never Used,CL2
