ID,Age,Gender,Education,Country,Ethics,Neuroticism,Extraversion,Cannabis_Consumption,Ecstasy_Consumption,Alcohol_Consumption,Cocaine_Consumption
614,39.0,F,University Degree,0.96,-0.32,-1.19,0.17,Used >10 Years,Used 5-10 Years,Used >10 Years,CL1
615,33.0,M,Master’s Degree,0.96,-0.32,1.98,-0.3,Used Last Month,Used 2-5 Years,Used 5-10 Years,CL5
616,26.0,M,,-0.57,-0.32,-0.25,0.64,Used 2-5 Years,Used 5-10 Years,Never Used,CL3
617,35.0,M,Master’s Degree,0.96,-0.32,0.14,-0.15,Used Last Month,Never Used,Never Used,CL1
618,45.0,M,Some College,-0.57,-0.32,1.02,0.17,Used 5-10 Years,Used Last Month,Used >10 Years,CL6
619,50.0,F,Professional Cert.,0.21,-0.32,-0.92,1.29,Used 2-5 Years,Used 5-10 Years,Used 5-10 Years,CL3
620,34.0,M,University Degree,0.96,-0.32,-0.05,1.11,Used Last Year,Never Used,Used 5-10 Years,CL0
621,56.0,F,Master’s Degree,0.96,-0.32,-0.68,-0.95,Used Last Year,Never Used,Never Used,CL0
622,18.0,F,,0.96,-0.32,0.52,-1.38,Used Last Year,Never Used,Never Used,CL0
623,37.0,F,Master’s Degree,0.96,-0.32,-0.92,0.64,Used Last Year,Never Used,Used >10 Years,CL0
624,35.0,M,Master’s Degree,0.96,-0.32,-0.15,0.48,Used Last Year,Never Used,Never Used,CL0
625,48.0,M,Master’s Degree,0.96,-0.32,-0.35,0.0,Used Last Month,Never Used,Used >10 Years,CL0
626,44.0,M,Doctorate Degree,0.96,-0.32,0.04,0.0,Used Last Month,Never Used,Never Used,CL1
627,41.0,M,Professional Cert.,0.96,-0.32,-0.35,-0.58,Used Last Month,Used >10 Years,Never Used,CL0
628,38.0,F,University Degree,0.96,-0.32,-0.05,-0.44,Used Last Month,Used >10 Years,Used 5-10 Years,CL0
629,44.0,F,Doctorate Degree,0.96,-0.32,-1.69,-0.95,Used Last Year,Used >10 Years,Used >10 Years,CL2
630,34.0,M,Doctorate Degree,0.96,-0.32,1.23,-1.09,Used Last Year,Never Used,Never Used,CL0
631,49.0,M,Doctorate Degree,0.96,-0.22,-0.47,0.48,Used Last Year,Never Used,Never Used,CL1
632,35.0,M,Doctorate Degree,0.96,-0.32,0.52,-0.3,Used Last Month,Used >10 Years,Never Used,CL0
633,20.0,M,University Degree,0.96,-0.32,0.42,-0.15,Used Last Year,Never Used,Never Used,CL0
634,23.0,M,University Degree,0.96,-0.32,1.23,-0.44,Used Last Year,Never Used,Used 5-10 Years,CL0
635,26.0,M,Master’s Degree,0.96,-0.32,-0.68,1.74,Used Last Year,Never Used,Used 5-10 Years,CL2
636,36.0,M,Doctorate Degree,0.96,-0.32,1.23,0.17,Used Last Month,Used 2-5 Years,Used 2-5 Years,CL6
637,39.0,F,University Degree,0.96,-0.32,-0.79,-0.3,Used Last Year,Used 5-10 Years,Used 5-10 Years,CL2
638,51.0,M,University Degree,0.96,-0.32,-0.68,0.32,Used 1-2 Years,Never Used,Never Used,CL0
639,36.0,M,Professional Cert.,0.25,-0.32,-0.35,0.17,Used 1-2 Years,Never Used,Never Used,CL0
640,23.0,M,University Degree,0.96,-0.32,-0.25,-0.58,Used Last Year,Never Used,Never Used,CL0
641,29.0,F,,0.96,-0.32,-0.25,1.74,Used Last Year,Used >10 Years,Used 5-10 Years,CL3
642,52.0,F,University Degree,0.96,-0.32,-0.15,-0.7,Used Last Year,Never Used,Never Used,CL0
643,44.0,F,Master’s Degree,0.96,-0.32,-0.68,0.96,Used Last Year,Used >10 Years,Used >10 Years,CL0
644,26.0,M,Master’s Degree,0.96,-1.11,-1.05,0.64,Used Last Year,Never Used,Never Used,CL0
645,29.0,F,Some College,0.96,-0.32,0.22,-0.3,Used Last Year,Used 2-5 Years,Used 2-5 Years,CL0
646,54.0,F,University Degree,0.96,-0.32,0.04,-0.3,Used Last Year,Never Used,Never Used,CL0
647,23.0,M,University Degree,0.96,-0.32,-0.47,-0.15,Used Last Year,Never Used,Never Used,CL0
648,20.0,F,Some College,-0.57,-0.32,-1.44,1.45,Used Last Month,Never Used,Never Used,CL3
649,38.0,M,Master’s Degree,-0.57,-0.32,1.13,0.17,Used Last Month,Used 5-10 Years,Used Last Month,CL3
650,33.0,M,University Degree,0.96,-0.32,-0.15,0.81,Used Last Year,Used 5-10 Years,Used 1-2 Years,CL0
651,52.0,M,Master’s Degree,0.96,-0.32,-0.47,2.13,Used Last Year,Used 5-10 Years,Used Last Month,CL4
652,26.0,F,Master’s Degree,0.96,-0.32,0.63,0.48,Used Last Year,Never Used,Used Last Year,CL0
653,22.0,F,Some College,-0.1,-0.32,1.02,1.29,Used Last Year,Used Last Year,Used 2-5 Years,CL4
654,19.0,F,Some College,-0.57,-0.32,-0.68,0.64,Used Last Month,Never Used,Used Last Month,CL0
655,39.0,M,,0.96,-0.32,-0.35,0.96,Used Last Year,Never Used,Used Last Year,CL0
656,25.0,F,Master’s Degree,-0.29,0.11,-0.47,1.74,Used Last Year,Never Used,Used Last Year,CL2
657,47.0,F,University Degree,0.528405215646941,-0.32,-0.47,-0.58,Used 1-2 Years,Never Used,Never Used,CL0
658,53.0,F,University Degree,0.96,-0.32,1.13,-1.38,Used Last Year,Used >10 Years,Used Last Month,CL1
659,20.0,F,Master’s Degree,0.96,-0.32,0.63,0.17,Used Last Year,Never Used,Used Last Month,CL0
660,33.0,F,Doctorate Degree,0.21,-0.32,-0.79,1.45,Used Last Year,Used 2-5 Years,Used Last Year,CL0
661,26.0,M,Master’s Degree,0.96,-1.11,-1.33,0.48,Used Last Month,Never Used,Used 2-5 Years,CL0
662,20.0,M,University Degree,0.96,-0.32,-0.25,-1.09,Used Last Month,Never Used,Used 1-2 Years,CL0
663,33.0,M,University Degree,0.96,-0.32,0.04,0.17,Used Last Year,Never Used,Used Last Year,CL0
664,27.0,M,Doctorate Degree,0.96,-0.32,1.23,-1.23,Used Last Month,Used >10 Years,Used Last Year,CL3
665,24.0,F,University Degree,0.96,-0.32,-0.35,-0.44,Used Last Year,Never Used,Used 5-10 Years,CL0
666,31.0,M,Doctorate Degree,0.96,-0.32,1.13,-0.44,Used Last Month,Used 5-10 Years,Used 5-10 Years,CL0
667,23.0,F,,0.96,-0.32,-2.05,-0.3,Used 2-5 Years,Never Used,Never Used,CL0
668,38.0,F,Some College,0.96,-0.32,0.91,-0.7,Used 1-2 Years,Used 5-10 Years,Used >10 Years,CL6
669,52.0,F,University Degree,0.96,-0.32,-1.69,2.13,Used Last Year,Never Used,Used >10 Years,CL0
670,26.0,F,Some College,0.96,-0.32,-0.58,0.96,Used Last Month,Never Used,Used 2-5 Years,CL5
671,21.0,F,Professional Cert.,0.96,-0.32,-0.35,0.17,Used Last Year,Never Used,Used 2-5 Years,CL0
672,36.0,F,Professional Cert.,0.96,-0.32,-0.47,0.81,Used 5-10 Years,Used >10 Years,Used >10 Years,CL0
673,23.0,F,University Degree,0.96,-0.32,-0.25,0.0,Used 5-10 Years,Never Used,Never Used,CL0
674,23.0,M,Some College,0.96,-0.32,1.23,1.11,Used Last Year,Never Used,Never Used,CL0
675,24.0,M,Master’s Degree,0.96,-0.5,0.83,-0.7,Used 2-5 Years,Never Used,Never Used,CL3
676,35.0,F,Professional Cert.,0.96,-0.32,-0.05,-0.3,Used 2-5 Years,Used 5-10 Years,Used >10 Years,CL0
677,21.0,F,Professional Cert.,0.96,-0.32,0.22,0.0,Used 2-5 Years,Never Used,Never Used,CL0
678,33.0,F,University Degree,0.96,-0.32,0.52,-0.3,Used Last Month,Used 5-10 Years,Used 5-10 Years,CL0
679,24.0,F,Some College,0.96,-0.32,2.29,-2.11,Never Used,Never Used,Never Used,CL0
680,21.0,M,Some College,0.96,-0.32,0.63,-0.3,Used Last Year,Used 1-2 Years,Used 2-5 Years,CL3
681,53.0,F,Doctorate Degree,0.96,-0.32,0.22,-0.81,Used Last Month,Used Last Month,Used >10 Years,CL3
682,38.0,F,Some College,0.96,-0.32,-1.33,0.0,Used Last Month,Never Used,Used 5-10 Years,CL3
683,28.0,F,Master’s Degree,0.96,-0.32,1.37,-1.76,Used Last Month,Never Used,Never Used,CL0
684,41.0,M,University Degree,0.96,-0.32,0.52,-0.15,Used 2-5 Years,Used 5-10 Years,Used 5-10 Years,CL2
685,40.0,M,Professional Cert.,0.96,-0.32,0.91,-0.7,Used 1-2 Years,Never Used,Never Used,CL6
686,32.0,F,University Degree,-0.1,-0.32,-0.35,0.17,Used Last Month,Used Last Year,Used 2-5 Years,CL5
687,20.0,M,Some College,0.25,-0.32,1.6,0.96,Used Last Year,Never Used,Never Used,CL0
688,54.0,M,,-0.1,-0.32,-0.92,0.64,Used 1-2 Years,Used >10 Years,Never Used,CL2
689,40.0,F,Some College,-0.57,-0.32,1.02,1.11,Used 5-10 Years,Used 5-10 Years,Used >10 Years,CL3
690,58.0,M,Master’s Degree,0.96,-0.32,0.83,-0.7,Used Last Month,Used >10 Years,Never Used,CL1
691,61.0,F,Some College,0.96,-0.32,0.42,-0.7,Used Last Month,Never Used,Never Used,CL2
692,27.0,M,University Degree,0.96,-0.32,-0.15,-0.15,Used 1-2 Years,Never Used,Never Used,CL0
693,49.0,M,Master’s Degree,0.96,-0.32,0.22,-0.7,Used Last Month,Never Used,Never Used,CL0
694,42.0,F,Master’s Degree,0.96,-0.32,-1.19,-0.3,Used Last Month,Used >10 Years,Never Used,CL0
695,41.0,F,Professional Cert.,0.96,-0.32,-0.92,-0.58,Used Last Year,Used >10 Years,Used >10 Years,CL0
696,35.0,M,Master’s Degree,0.96,-0.32,-0.15,-0.44,Used Last Month,Never Used,Never Used,CL0
697,62.0,F,University Degree,0.96,-0.32,-0.79,0.32,Used Last Year,Used >10 Years,Used >10 Years,CL0
698,53.0,M,University Degree,0.25,0.11,-1.69,-0.3,Used 1-2 Years,Never Used,Never Used,CL0
699,44.0,F,University Degree,-0.57,-0.32,-0.05,-0.95,Used Last Month,Used Last Year,Never Used,CL3
700,60.0,F,Some College,0.96,-0.32,-0.15,-1.09,Used Last Month,Used 5-10 Years,Used 5-10 Years,CL0
701,39.0,M,Some College,-0.29,-0.32,0.91,0.17,Used Last Year,Used 5-10 Years,Never Used,CL2
702,50.0,F,,0.96,-0.32,-1.05,1.11,Used >10 Years,Used >10 Years,Used >10 Years,CL2
703,35.0,M,University Degree,0.96,-0.32,-0.35,0.64,Used 2-5 Years,Used >10 Years,Used 5-10 Years,CL2
704,57.0,F,University Degree,0.96,-0.32,-1.44,0.81,Used Last Month,Never Used,Never Used,CL0
705,43.0,F,Some College,-0.57,-0.32,-0.79,-0.3,Used Last Month,Used >10 Years,Used >10 Years,CL1
706,23.0,F,Some College,0.96,-0.32,-1.44,0.32,Used 2-5 Years,Used 5-10 Years,Used 5-10 Years,CL2
707,21.0,M,University Degree,0.96,-0.32,-0.15,-0.95,Used 1-2 Years,Never Used,Never Used,CL0
708,31.0,F,University Degree,0.96,-0.32,-0.05,1.94,Used Last Year,Used 5-10 Years,Used 5-10 Years,CL0
709,20.0,F,Some College,0.96,-0.32,0.42,-0.58,Used Last Year,Never Used,Used 2-5 Years,CL0
710,19.0,F,Professional Cert.,0.96,-0.32,-0.92,-0.3,Used 2-5 Years,Never Used,Never Used,CL0
711,24.0,F,University Degree,0.96,-0.32,0.91,0.17,Used Last Year,Used 5-10 Years,Used 2-5 Years,CL2
712,23.0,F,Some College,-0.57,-0.32,-0.58,-0.15,Used 2-5 Years,Never Used,Never Used,CL6
713,34.0,M,Master’s Degree,0.96,-0.32,0.52,0.32,Used 1-2 Years,Used 2-5 Years,Never Used,CL2
714,18.0,F,University Degree,-0.57,-0.32,0.52,0.81,Used Last Month,Used Last Year,Used 5-10 Years,CL0
715,21.0,F,Professional Cert.,0.96,-0.32,0.74,1.11,Used Last Year,Never Used,Never Used,CL0
716,18.0,M,Some College,-0.57,-0.32,0.63,0.48,Used Last Year,Used 2-5 Years,Never Used,CL6
717,22.0,F,Some College,0.96,-0.32,-0.05,-1.51,Used 2-5 Years,Never Used,Never Used,CL3
718,37.0,F,University Degree,-0.57,-0.32,-0.79,-0.81,Used Last Year,Used >10 Years,Never Used,CL4
719,22.0,F,,-0.29,-0.32,-0.05,-1.23,Used Last Year,Used 5-10 Years,Never Used,CL0
720,62.0,F,University Degree,0.96,-0.32,-0.35,-0.95,Used Last Year,Used >10 Years,Used 5-10 Years,CL0
721,43.0,F,Some College,0.96,-0.32,1.23,0.81,Used Last Month,Used 1-2 Years,Used 2-5 Years,CL5
722,43.0,M,Professional Cert.,0.96,-0.32,1.6,-0.7,Used 1-2 Years,Used 5-10 Years,Used >10 Years,CL0
723,59.0,F,Professional Cert.,0.96,-0.32,-0.05,-0.3,Used >10 Years,Used >10 Years,Never Used,CL1
724,32.0,M,University Degree,0.96,-0.32,-0.92,1.45,Used Last Year,Never Used,Never Used,CL0
725,44.0,M,Some College,0.96,-0.32,1.13,-0.58,Used 1-2 Years,Used 2-5 Years,Never Used,CL1
726,26.0,M,Master’s Degree,0.96,-0.32,0.31,0.64,Used Last Year,Used 5-10 Years,Used 2-5 Years,CL3
727,20.0,F,Professional Cert.,0.96,-0.32,2.29,-0.95,Used Last Month,Never Used,Used 2-5 Years,CL0
728,27.0,M,Master’s Degree,0.96,-0.22,0.31,0.64,Used Last Year,Never Used,Never Used,CL0
729,23.0,F,Some College,0.25,-0.32,-1.44,0.17,Used 1-2 Years,Never Used,Never Used,CL0
730,34.0,M,,-0.1,-0.32,-0.58,0.32,Used Last Month,Used 5-10 Years,Used 5-10 Years,CL2
731,42.0,M,University Degree,0.96,-0.32,0.74,0.0,Used Last Year,Used >10 Years,Used >10 Years,CL0
732,20.0,F,Some College,0.96,-0.32,-0.79,1.29,Used 1-2 Years,Used 1-2 Years,Used 5-10 Years,CL0
733,22.0,M,University Degree,0.96,-0.32,1.23,0.64,Used Last Month,Never Used,Used 5-10 Years,CL0
734,43.0,F,,0.96,0.13,0.63,0.17,Used Last Year,Used 5-10 Years,Used 5-10 Years,CL3
735,19.0,F,Some College,0.96,-0.32,0.74,1.11,Used Last Month,Used 2-5 Years,Used 2-5 Years,CL3
736,26.0,M,University Degree,0.96,-0.32,0.22,2.13,Used 1-2 Years,Used 2-5 Years,Used 5-10 Years,CL3
737,33.0,F,University Degree,0.96,-0.32,-0.47,-1.76,Used Last Month,Used 5-10 Years,Used Last Year,CL0
738,34.0,F,University Degree,0.96,-0.32,-1.05,1.74,Used Last Year,Used 5-10 Years,Never Used,CL0
739,21.0,M,University Degree,0.528405215646941,-0.32,-0.47,1.74,Used 1-2 Years,Never Used,Never Used,CL3
740,29.0,F,Master’s Degree,-0.29,-0.32,-0.05,-1.38,Used Last Month,Used 5-10 Years,Never Used,CL0
741,44.0,F,Some College,0.96,-0.32,-1.33,0.17,Used Last Year,Used 2-5 Years,Used 5-10 Years,CL3
743,49.0,M,Master’s Degree,0.96,-0.32,0.83,-0.3,Used Last Month,Used >10 Years,Never Used,CL1
744,40.0,M,University Degree,0.96,-0.32,1.74,0.05429718875502009,Used Last Year,Never Used,Used >10 Years,CL2
745,31.0,F,,0.96,-0.32,-0.35,0.0,Used >10 Years,Never Used,Never Used,CL0
746,52.0,F,Some College,0.96,-0.32,-0.92,0.17,Used Last Year,Never Used,Never Used,CL0
747,25.0,M,,0.96,-0.32,0.74,0.32,Used Last Month,Never Used,Never Used,CL0
748,25.0,M,Master’s Degree,0.96,-0.32,-0.05,0.48,Used 1-2 Years,Never Used,Used 5-10 Years,CL2
749,41.0,M,,0.96,-0.32,0.42,-0.58,Used 5-10 Years,Used Last Month,Used 5-10 Years,CL3
750,43.0,M,Doctorate Degree,0.96,-0.32,-1.69,0.96,Used Last Year,Never Used,Never Used,CL0
751,37.0,F,Master’s Degree,0.96,-0.32,-0.15,0.0,Used Last Year,Never Used,Used >10 Years,CL1
752,29.0,M,Professional Cert.,0.96,-0.32,-2.34,1.45,Used Last Month,Used 5-10 Years,Never Used,CL0
753,27.0,F,Some College,-0.29,-0.32,1.6,-0.3,Used Last Month,Used 2-5 Years,Never Used,CL5
754,28.0,M,Master’s Degree,0.96,-0.32,0.42,1.11,Used Last Year,Used 5-10 Years,Used 5-10 Years,CL0
755,28.0,F,Doctorate Degree,0.96,-0.32,-0.92,0.48,Used 1-2 Years,Used >10 Years,Used >10 Years,CL2
756,21.0,F,Some College,-0.57,-0.32,-1.44,1.58,Used Last Year,Used 1-2 Years,Used 2-5 Years,CL3
757,24.0,M,Master’s Degree,0.96,0.13,0.63,0.32,Used Last Year,Never Used,Used 5-10 Years,CL0
758,22.0,M,Some College,0.21,-0.32,2.29,-0.44,Used Last Month,Used Last Month,Never Used,CL0
759,22.0,F,Some College,-0.57,-0.32,0.42,0.64,Used 2-5 Years,Used 2-5 Years,Never Used,CL5
760,19.0,F,Doctorate Degree,0.96,-0.32,-2.76,1.74,Used Last Month,Never Used,Used 5-10 Years,CL2
761,34.0,F,University Degree,0.25,-0.32,0.04,-0.95,Used Last Month,Used 5-10 Years,Used 5-10 Years,CL2
762,19.0,F,Some College,-0.57,-0.32,1.72,0.32,Used Last Month,Never Used,Never Used,CL0
763,31.0,M,University Degree,-0.1,-0.32,-1.33,0.81,Used Last Month,Used Last Month,Used 5-10 Years,CL4
764,21.0,M,University Degree,0.96,-0.32,1.13,0.81,Used Last Year,Never Used,Never Used,CL2
765,19.0,F,,0.96,-0.32,0.42,-0.95,Used Last Year,Never Used,Used 5-10 Years,CL0
766,18.0,F,Some College,-0.57,-0.32,0.63,0.17,Used 1-2 Years,Used 5-10 Years,Used 2-5 Years,CL2
767,23.0,F,Some College,-0.57,-0.32,1.02,-0.81,Used Last Month,Used 2-5 Years,Never Used,CL6
768,30.0,F,Master’s Degree,-0.47,-0.32,0.83,-0.7,Used Last Month,Used 5-10 Years,Used 2-5 Years,CL6
769,18.0,M,Professional Cert.,-0.57,0.11,-0.35,0.64,Used 1-2 Years,Used Last Month,Never Used,CL6
770,29.0,F,University Degree,-0.1,-0.32,1.02,0.17,Used Last Month,Used 5-10 Years,Used 5-10 Years,CL3
771,23.0,F,Some College,-0.57,-0.32,0.63,-1.63,Used 2-5 Years,Used 2-5 Years,Never Used,CL0
772,18.0,M,Master’s Degree,0.96,-0.5,0.52,-1.38,Never Used,Never Used,Never Used,CL0
773,51.0,F,University Degree,0.96,-0.32,1.23,-1.38,Used Last Month,Used Last Year,Used 2-5 Years,CL3
774,47.0,M,Professional Cert.,0.25,-0.32,1.02,-1.23,Used >10 Years,Used >10 Years,Never Used,CL6
775,21.0,F,,-0.29,-0.32,-1.19,-0.44,Used 1-2 Years,Used 5-10 Years,Never Used,CL2
776,22.0,M,Some College,-0.29,-0.32,-1.69,0.48,Used 1-2 Years,Never Used,Never Used,CL0
777,30.0,F,Some College,-0.57,-0.32,0.14,-0.44,Used 2-5 Years,Used Last Month,Never Used,CL6
778,19.0,F,Some College,-0.57,0.13,0.52,0.64,Used Last Month,Used 1-2 Years,Never Used,CL6
779,20.0,F,Some College,0.25,-0.32,1.98,0.0,Used 1-2 Years,Used Last Month,Never Used,CL5
780,47.0,F,,0.96,-0.32,-2.22,1.11,Used Last Year,Used 2-5 Years,Used >10 Years,CL0
781,22.0,M,Professional Cert.,-0.57,-0.32,1.02,-2.11,Used 1-2 Years,Used 2-5 Years,Never Used,CL0
782,39.0,F,Professional Cert.,-0.57,-0.32,1.02,-0.95,Used Last Month,Never Used,Never Used,CL5
783,24.0,F,Some College,-0.57,0.11,1.13,-1.23,Used 2-5 Years,Used 2-5 Years,Never Used,CL2
784,19.0,M,Some College,-0.57,-0.32,0.83,-0.44,Used Last Month,Used 2-5 Years,Never Used,CL3
785,19.0,M,Some College,-0.57,-0.32,-0.25,0.48,Used Last Month,Used Last Year,Never Used,CL4
786,22.0,F,Master’s Degree,-0.57,-0.32,1.37,-0.81,Used 1-2 Years,Used 5-10 Years,Never Used,CL3
787,20.0,F,Professional Cert.,-0.29,-0.32,-0.58,0.0,Used 2-5 Years,Used 2-5 Years,Used 5-10 Years,CL3
788,35.0,F,Professional Cert.,-0.29,-0.32,0.83,-0.58,Used Last Month,Used >10 Years,Used 5-10 Years,CL1
789,23.0,F,Professional Cert.,0.96,-0.32,-1.69,1.29,Used Last Year,Never Used,Used 5-10 Years,CL0
790,18.0,F,Some College,0.96,-0.32,-2.05,0.17,Used 2-5 Years,Never Used,Never Used,CL0
791,22.0,F,University Degree,-0.1,-0.32,-0.15,-0.44,Used Last Year,Used 2-5 Years,Used Last Year,CL3
792,23.0,F,Some College,-0.57,-0.32,1.74,0.05429718875502009,Used Last Year,Used 2-5 Years,Used 1-2 Years,CL3
793,21.0,F,Some College,-0.29,-0.32,0.83,0.64,Used Last Year,Used Last Year,Used 2-5 Years,CL3
794,30.0,F,Some College,0.96,-0.32,0.04,2.13,Used Last Year,Used 5-10 Years,Used 2-5 Years,CL0
795,28.0,F,University Degree,0.96,-0.32,-0.05,-0.58,Used Last Month,Used >10 Years,Used 5-10 Years,CL0
796,18.0,F,Some College,-0.57,-0.32,1.13,-0.58,Used 2-5 Years,Used 2-5 Years,Never Used,CL0
797,23.0,F,Some College,-0.57,-0.32,0.42,-0.95,Used 2-5 Years,Used Last Month,Never Used,CL5
798,23.0,M,University Degree,0.96,-0.32,-0.58,0.81,Used Last Year,Used 2-5 Years,Used 5-10 Years,CL0
799,34.0,M,Some College,-0.57,-0.32,0.14,1.11,Used Last Month,Used 2-5 Years,Never Used,CL3
800,39.0,M,Some College,0.96,-0.32,1.23,0.64,Used Last Year,Used 5-10 Years,Used >10 Years,CL1
801,23.0,F,Some College,0.25,-0.32,-1.19,0.17,Used 1-2 Years,Used 2-5 Years,Never Used,CL3
802,26.0,F,Some College,-0.57,-0.32,0.52,-0.44,Used 2-5 Years,Used Last Year,Used 5-10 Years,CL2
803,23.0,F,,0.21,-0.32,-0.47,0.32,Used Last Year,Used 1-2 Years,Never Used,CL3
804,50.0,M,University Degree,-0.57,-0.32,0.14,-0.95,Used Last Month,Used Last Month,Used >10 Years,CL0
805,32.0,F,Some College,-0.57,-0.32,0.52,-1.09,Used Last Year,Used 5-10 Years,Never Used,CL3
