ID,Age,Gender,Education,Country,Ethics,Column7,Column8,Column14,Column15,Column16,Column17
1,36,M,PD,0.96,0.13,0.31,-0.58,CL5,CL2,CL0,CL2
2,30,F,PhD,0.96,-0.32,-0.68,1.94,CL5,CL2,CL2,CL0
3,44,F,PD,0.96,-0.32,-0.47,0.81,CL6,CL0,CL0,CL0
4,20,M,Msc,0.96,-0.32,-0.15,-0.81,CL4,CL0,CL0,CL3
5,43,M,PhD,0.96,-0.32,0.74,-1.63,CL4,CL1,CL1,CL0
6,19,M,L23,0.25,-0.32,-0.68,-0.3,CL2,CL0,CL0,CL0
7,53,F,Msc,-0.57,-0.32,-0.47,-1.09,CL6,CL0,CL0,CL0
8,36,F,L21,0.96,-0.32,-1.33,1.94,CL5,CL0,CL0,CL0
9,41,M,PD,0.25,-0.32,0.63,2.57,CL4,CL0,CL0,CL0
10,59,F,Msc,0.96,-0.32,-0.25,0.0,CL6,CL1,CL0,CL1
11,33,M,Uni,0.96,-0.32,-1.05,0.81,CL5,CL0,CL1,CL0
12,50,F,CD,-0.29,-0.32,-1.33,0.0,CL5,CL1,CL0,CL0
13,57,M,Uni,0.96,-0.32,2.29,0.17,CL5,CL1,CL0,CL4
14,61,M,PD,0.25,-0.32,-0.79,0.81,CL1,CL0,CL0,CL0
15,59,M,PD,0.96,-0.32,-0.92,1.45,CL6,CL0,CL0,CL0
16,60,F,Uni,0.96,-0.32,-2.05,-1.51,CL5,CL2,CL2,CL0
17,41,M,CD,0.96,-0.32,-1.55,-0.81,CL6,CL0,CL0,CL1
18,50,F,L21,0.96,-0.32,0.52,-1.23,CL6,CL1,CL1,CL0
19,60,F,Uni,-0.1,-0.32,1.37,-0.15,CL6,CL2,CL0,CL2
20,38,F,PD,0.96,-0.32,-0.35,-1.76,CL4,CL1,CL0,CL0
21,51,F,PD,0.96,-0.32,-0.79,0.81,CL6,CL1,CL1,CL0
22,133,F,B21,0.96,-0.32,-1.19,0.48,CL5,CL0,CL0,CL0
23,50,F,Uni,0.96,-0.32,0.42,-0.95,CL4,CL0,CL0,CL0
24,47,F,L21,0.96,-0.32,1.6,-3.27,CL6,CL2,CL1,CL5
25,59,F,Uni,0.96,-0.32,-0.15,0.64,CL5,CL1,CL1,CL1
26,53,F,CD,0.96,-0.32,-0.79,-0.44,CL5,CL1,CL2,CL0
27,63,M,L23,0.25,-0.32,-0.05,-1.63,CL6,CL0,CL0,CL2
28,36,F,Uni,0.96,-0.32,0.52,-1.23,CL6,CL1,CL1,CL2
29,40,M,Msc,0.96,-0.32,0.04,-1.51,CL6,CL0,CL0,CL0
30,45,F,PhD,0.96,-0.32,-1.33,1.74,CL0,CL0,CL0,CL0
31,48,F,L21,0.96,-0.32,0.31,-0.81,CL6,CL1,CL1,CL1
32,44,M,L21,-0.29,-0.32,-1.19,-0.81,CL3,CL0,CL0,CL2
33,37,F,Uni,0.96,-0.32,-0.79,-1.23,CL6,CL1,CL1,CL0
34,23,F,Uni,0.96,-0.32,0.42,-0.3,CL6,CL0,CL0,CL0
35,38,F,Uni,-0.57,11,1.02,0.64,CL4,CL2,CL1,CL1
36,83,F,B21,0.96,-0.32,-0.25,-0.81,CL3,CL0,CL0,CL0
37,43,F,Uni,0.96,-0.32,-0.25,-0.58,CL6,CL0,CL0,CL0
38,63,F,B21,-0.57,-0.32,0.31,0.32,CL6,CL1,CL2,CL1
39,47,F,Uni,0.96,-0.32,-1.55,1.29,CL6,CL1,CL0,CL0
40,259,M,PD,0.96,-0.32,-0.25,-0.95,CL6,CL0,CL0,CL0
41,35,F,Msc,0.96,-0.32,0.04,-0.44,CL5,CL1,CL0,CL2
42,35,M,Uni,0.96,-0.32,0.83,0.0,CL4,CL0,CL0,CL0
43,41,F,Msc,0.96,-0.32,-0.15,-0.95,CL6,CL0,CL3,CL5
44,38,F,PD,0.96,-0.32,-0.92,-0.58,CL6,CL2,CL2,CL0
45,27,F,Uni,0.96,11,-1.05,1.45,CL5,CL0,CL0,CL0
46,32,M,Uni,0.96,-0.32,-0.47,0.48,CL5,CL0,CL0,CL0
47,53,M,CD,0.25,-0.32,0.31,0.64,CL3,CL0,CL0,CL0
48,48,F,Msc,0.96,-0.32,-2.05,0.81,CL5,CL0,CL0,CL0
49,49,F,L21,0.96,-0.32,0.14,-0.81,CL6,CL1,CL1,CL0
50,27,M,Msc,0.96,-0.22,0.83,-0.58,CL6,CL0,CL0,CL0
51,42,F,Msc,0.96,-0.32,1.02,-0.15,CL6,CL1,CL2,CL1
52,45,F,PD,0.25,-0.32,1.13,0.96,CL2,CL1,CL1,CL1
53,55,M,Uni,0.96,-0.32,-0.15,0.0,CL5,CL0,CL0,CL0
54,48,F,Msc,0.96,-0.32,-1.44,-0.15,CL5,CL1,CL1,CL0
55,57,F,L21,0.96,-0.32,0.04,1.11,CL6,CL0,CL0,CL0
56,64,M,PD,0.96,-0.32,0.04,-0.7,CL3,CL0,CL0,CL0
57,37,M,CD,0.96,-0.32,0.04,0.0,CL5,CL0,CL0,CL0
58,28,M,Uni,0.96,-0.32,-0.58,0.64,CL1,CL0,CL0,CL0
59,50,F,L23,0.96,-0.32,0.22,0.64,CL5,CL1,CL1,CL0
60,47,F,Uni,0.96,-0.32,-0.47,-1.23,CL5,CL0,CL0,CL0
61,27,M,PhD,0.96,-0.32,1.37,0.32,CL5,CL0,CL0,CL3
62,48,F,Msc,0.96,-0.5,-2.22,1.58,CL5,CL1,CL0,CL0
63,30,F,Uni,0.96,-0.32,-0.58,-1.38,CL5,CL0,CL0,CL0
64,47,F,Uni,0.96,-0.32,1.02,-0.3,CL5,CL0,CL0,CL0
65,50,F,PhD,0.96,-0.32,-1.55,0.48,CL6,CL1,CL0,CL1
66,36,F,CD,0.96,-0.32,0.74,0.48,CL5,CL0,CL0,CL3
67,50,F,L21,0.96,-0.32,-1.05,-0.7,CL4,CL0,CL0,CL0
68,31,F,Msc,0.96,-0.32,-0.35,-0.3,CL5,CL1,CL1,CL0
69,39,F,PD,-0.29,-0.32,-0.92,0.0,CL5,CL1,CL1,CL0
70,49,M,L21,0.96,-0.32,-0.05,-0.7,CL6,CL0,CL0,CL6
71,29,F,CD,0.96,-0.32,-0.35,-0.3,CL6,CL2,CL1,CL0
72,45,M,L23,0.25,-0.32,-0.47,1.11,CL5,CL0,CL0,CL0
73,52,F,L23,0.96,-0.32,-1.55,0.96,CL6,CL1,CL1,CL0
74,54,F,PD,0.96,-0.32,-0.68,-0.58,CL6,CL0,CL0,CL0
75,270,M,L21,0.96,-0.32,-1.19,-1.76,CL3,CL0,CL0,CL0
76,33,F,Uni,0.96,-0.32,-0.15,0.17,CL5,CL0,CL0,CL0
77,47,M,L22,0.25,-0.32,-0.35,-0.7,CL4,CL0,CL0,CL0
78,39,F,Uni,0.96,-0.32,0.14,-1.63,CL3,CL1,CL0,CL0
79,40,F,CD,0.96,-0.32,-0.79,-0.81,CL6,CL0,CL1,CL0
80,39,F,PD,0.96,-0.32,-0.35,-0.81,CL5,CL0,CL0,CL0
81,189,M,PhD,0.25,-0.32,0.04,0.32,CL6,CL0,CL0,CL3
82,64,M,Uni,0.96,-0.32,-0.79,-1.23,CL5,CL1,CL1,CL1
83,55,F,Msc,0.25,-0.32,-2.05,1.45,CL5,CL0,CL0,CL0
84,60,M,L22,0.96,-0.22,1.02,-0.95,CL3,CL0,CL0,CL5
85,49,F,L21,0.96,-0.32,-0.35,0.17,CL5,CL0,CL0,CL0
86,26,M,L23,0.96,-0.32,-0.47,0.0,CL3,CL0,CL1,CL0
87,39,F,CD,0.96,-0.32,0.74,-0.15,CL5,CL0,CL1,CL0
88,62,F,L21,0.96,-0.32,-0.92,0.17,CL5,CL0,CL0,CL0
89,38,M,CD,0.96,-0.32,0.31,-1.92,CL3,CL0,CL1,CL1
90,39,M,Msc,0.96,-0.32,0.91,-0.58,CL5,CL1,CL1,CL2
91,36,M,Msc,0.96,-0.32,1.37,0.32,CL6,CL0,CL0,CL0
92,36,F,PD,0.25,-0.32,0.42,-0.44,CL2,CL0,CL0,CL3
93,34,F,L23,0.96,-0.32,-1.55,-0.3,CL4,CL0,CL0,CL0
94,194,M,L21,0.96,-0.32,-0.15,-0.81,CL3,CL0,CL0,CL0
95,46,F,Msc,0.96,-0.32,-0.68,-0.58,CL5,CL0,CL0,CL3
96,48,F,Msc,0.96,-0.32,-0.47,0.32,CL6,CL1,CL1,CL1
97,40,M,Uni,0.25,-0.32,0.14,-1.09,CL4,CL1,CL0,CL0
98,53,M,Msc,0.96,-0.32,-0.47,0.64,CL5,CL1,CL0,CL1
99,42,F,PhD,0.25,-0.32,-1.19,-0.44,CL4,CL1,CL0,CL0
100,32,M,Uni,0.96,-0.32,-0.68,3.01,CL6,CL2,CL0,CL3
101,29,F,Msc,-0.29,-0.32,-1.05,2.57,CL6,CL3,CL3,CL4
102,50,M,L21,-0.1,-0.32,-0.58,0.48,CL4,CL0,CL0,CL0
103,51,F,L23,0.96,-0.32,-0.58,1.29,CL6,CL1,CL3,CL4
104,49,M,PD,0.25,-0.32,0.04,0.64,CL4,CL0,CL0,CL0
105,34,M,CD,0.25,-0.32,-0.92,0.17,CL5,CL0,CL0,CL0
106,39,F,PD,0.96,-0.32,-2.22,0.48,CL3,CL0,CL0,CL0
107,28,M,CD,0.96,-0.32,1.02,-0.3,CL4,CL0,CL0,CL0
108,40,M,KP,0.96,-0.32,0.14,0.0,CL5,CL3,CL0,CL0
109,25,M,GT,0.96,-0.32,-0.47,2.13,CL5,CL0,CL0,CL3
110,46,M,EW,0.96,-0.32,-0.79,0.48,CL5,CL1,CL0,CL0
111,14,F,TD,0.96,-0.5,-0.15,0.32,CL5,CL0,CL0,CL0
112,28,F,Msc,0.96,32,0.31,-1.09,CL6,CL1,CL0,CL0
113,28,M,Uni,0.96,32,-1.19,0.32,CL3,CL0,CL0,CL0
114,45,M,PD,0.96,-0.32,0.04,0.64,CL4,CL0,CL0,CL1
115,40,F,CD,0.96,-0.32,-2.34,1.94,CL4,CL1,CL1,CL2
116,30,M,PD,0.25,-0.32,0.22,-0.58,CL5,CL1,CL2,CL0
117,44,F,PD,0.25,-0.32,0.63,-0.58,CL4,CL0,CL0,CL0
118,25,M,Uni,0.96,-0.32,1.6,0.81,CL5,CL1,CL1,CL3
119,41,M,CD,-0.57,-0.32,1.84,-1.92,CL5,CL0,CL0,CL6
120,36,M,Uni,0.96,-0.32,-0.35,0.64,CL5,CL0,CL0,CL0
121,31,M,Msc,0.96,-0.32,-1.05,0.64,CL6,CL1,CL0,CL0
122,44,M,PD,0.96,-0.32,1.49,-1.23,CL2,CL0,CL0,CL0
123,55,F,Msc,0.96,-0.32,0.22,0.17,CL6,CL0,CL0,CL0
124,25,M,Uni,0.96,-0.32,0.22,-0.7,CL5,CL1,CL0,CL0
125,54,F,L21,0.96,-0.32,-0.35,1.94,CL3,CL0,CL0,CL0
126,56,F,Uni,0.96,-0.32,-0.47,1.29,CL6,CL0,CL0,CL0
127,52,F,Uni,0.96,-0.32,-1.19,0.64,CL5,CL1,CL1,CL0
128,50,M,L22,0.96,-0.32,-0.35,-0.81,CL5,CL0,CL0,CL0
129,35,F,PhD,0.96,-0.5,0.04,0.64,CL0,CL0,CL0,CL2
130,54,M,Msc,0.96,-0.32,-0.79,0.96,CL6,CL0,CL0,CL0
131,48,M,L21,0.96,-0.32,0.91,0.32,CL5,CL0,CL0,CL0
132,49,M,L21,0.96,0.11,-1.55,-0.15,CL4,CL0,CL0,CL2
133,42,M,L23,0.21,-0.32,-0.25,-0.58,CL4,CL0,CL0,CL0
134,43,F,Msc,0.96,-0.32,-0.05,0.17,CL5,CL0,CL0,CL1
135,32,M,Msc,0.96,0.13,3.27,-1.51,CL6,CL1,CL0,CL0
136,37,M,L21,0.96,-0.32,-1.69,1.58,CL1,CL0,CL0,CL0
137,45,M,Uni,0.96,-0.32,-0.15,-0.3,CL5,CL0,CL0,CL0
138,50,M,Uni,0.96,-0.32,-1.19,1.58,CL4,CL0,CL0,CL0
139,56,F,Uni,0.96,-0.32,-0.47,-0.81,CL6,CL0,CL0,CL4
140,52,F,L21,0.96,-0.32,-0.05,0.32,CL6,CL0,CL0,CL0
141,32,M,Uni,0.96,-0.5,1.98,0.32,CL5,CL0,CL0,CL2
142,37,M,L21,0.96,-0.32,-0.79,0.64,CL5,CL0,CL0,CL0
143,39,F,L22,0.96,-0.32,-0.47,-0.3,CL6,CL0,CL0,CL0
144,41,F,PD,0.96,-1.11,-1.69,1.29,CL1,CL0,CL0,CL0
145,46,F,PD,0.25,-0.32,0.14,-1.09,CL6,CL0,CL0,CL0
146,49,M,Uni,0.96,-0.32,-0.47,0.17,CL4,CL0,CL0,CL1
147,55,F,PD,0.96,-0.32,0.22,-1.23,CL6,CL0,CL0,CL1
148,38,F,Msc,0.96,-1.11,-0.58,0.48,CL4,CL0,CL0,CL0
149,38,M,PD,0.96,-0.32,-0.05,-1.09,CL4,CL0,CL0,CL0
150,51,M,Uni,0.96,-0.32,-0.79,1.94,CL4,CL0,CL0,CL0
151,41,M,CD,0.96,-0.32,-0.25,1.29,CL5,CL0,CL0,CL0
152,41,M,Uni,0.96,-0.32,0.52,-1.63,CL5,CL0,CL0,CL0
153,28,M,Uni,0.96,-0.32,-0.47,-1.51,CL5,CL0,CL1,CL2
154,33,F,Uni,0.96,-0.32,-0.68,0.96,CL6,CL0,CL1,CL0
155,23,M,CD,0.96,-0.32,2.82,-1.38,CL5,CL0,CL0,CL5
156,43,M,Uni,0.96,-1.11,0.63,-1.38,CL5,CL0,CL0,CL0
157,36,M,CD,0.96,-0.32,1.23,0.0,CL5,CL2,CL1,CL1
158,27,F,L21,0.96,-0.32,-1.05,1.11,CL6,CL0,CL0,CL0
159,43,M,Uni,-0.1,-0.32,-0.25,0.17,CL3,CL0,CL0,CL0
160,50,M,CD,0.96,-1.11,-0.47,-0.58,CL4,CL0,CL0,CL0
161,48,F,Msc,-0.29,-0.32,1.02,0.81,CL5,CL1,CL1,CL1
162,43,F,Uni,0.96,-1.11,-0.68,0.32,CL5,CL0,CL0,CL0
163,30,M,Uni,-0.47,-0.32,0.22,0.0,CL3,CL0,CL0,CL0
164,30,M,CD,0.96,-0.32,1.84,0.0,CL4,CL0,CL0,CL0
165,34,M,PhD,0.96,-0.32,0.14,0.32,CL3,CL1,CL0,CL0
166,51,F,Msc,0.96,-0.32,-0.25,-0.3,CL6,CL0,CL0,CL0
167,19,F,CD,0.96,-0.32,1.49,-1.23,CL5,CL0,CL0,CL0
168,26,M,PD,0.96,-1.11,0.04,0.0,CL2,CL0,CL0,CL0
169,29,M,Uni,0.96,-0.32,0.22,1.29,CL5,CL0,CL0,CL0
170,23,M,L23,0.96,-0.32,-0.35,0.0,CL5,CL0,CL3,CL0
171,45,F,L21,0.96,-0.32,1.37,-0.3,CL2,CL1,CL1,CL3
172,35,F,Msc,0.96,-0.32,-0.35,0.96,CL6,CL0,CL1,CL0
173,50,M,PD,0.96,-0.32,0.52,-0.58,CL5,CL0,CL0,CL0
174,38,M,Uni,0.96,-0.32,1.02,0.64,CL6,CL0,CL0,CL0
175,36,M,PD,0.96,-0.32,1.02,-0.58,CL6,CL0,CL0,CL2
176,58,M,Uni,0.96,-0.32,0.63,0.0,CL5,CL0,CL0,CL0
177,35,M,Uni,0.96,0.11,-0.15,-0.58,CL3,CL0,CL0,CL0
178,37,M,Uni,0.96,-0.32,1.49,0.0,CL5,CL0,CL0,CL0
179,49,M,Uni,0.96,-0.32,0.83,-0.95,CL5,CL1,CL0,CL0
180,40,M,PD,0.96,-0.32,0.42,-0.15,CL5,CL1,CL0,CL0
181,49,M,PD,0.96,-0.32,0.31,0.64,CL5,CL0,CL0,CL0
182,34,F,PhD,0.96,-0.32,-1.33,-0.44,CL5,CL0,CL0,CL0
183,37,M,CD,0.96,-0.32,0.31,0.81,CL5,CL0,CL0,CL0
184,21,M,Uni,0.96,-0.32,1.98,-0.44,CL6,CL3,CL0,CL0
185,57,F,L23,0.96,-0.32,0.04,-0.81,CL6,CL0,CL0,CL0
186,41,M,Uni,0.25,-0.32,0.31,0.64,CL5,CL0,CL0,CL0
187,38,M,Msc,0.96,-0.32,-0.68,1.45,CL6,CL0,CL0,CL0
188,63,M,L21,0.96,-0.32,-0.79,-0.81,CL4,CL0,CL0,CL0
189,49,M,L21,0.96,-0.32,0.42,-1.38,CL4,CL0,CL0,CL2
190,18,M,Msc,0.96,-0.32,-0.35,0.0,CL5,CL0,CL0,CL0
191,60,M,PD,0.96,-0.32,-1.44,0.0,CL5,CL0,CL0,CL1
192,19,F,Uni,0.96,0.13,-0.35,1.29,CL5,CL0,CL0,CL0
193,27,M,PD,0.25,-0.32,-0.79,-0.3,CL5,CL1,CL0,CL1
194,46,M,Uni,0.96,-0.32,0.31,-1.09,CL5,CL0,CL0,CL0
195,28,M,Uni,0.25,0.13,-0.92,1.29,CL3,CL0,CL0,CL0
196,56,M,Uni,0.96,-0.32,0.63,0.32,CL5,CL1,CL0,CL1
197,22,F,Uni,0.96,-1.11,-0.58,0.32,CL4,CL0,CL0,CL0
198,60,M,Uni,0.96,-0.32,-0.35,0.48,CL5,CL0,CL0,CL0
199,27,M,PD,0.96,-0.32,-0.05,0.48,CL6,CL5,CL5,CL2
200,54,M,PD,0.96,-0.32,-0.47,2.32,CL4,CL4,CL1,CL1
201,22,M,Uni,0.96,-0.32,-0.58,0.17,CL6,CL0,CL0,CL0
202,43,F,Msc,0.96,0.11,-0.15,-0.95,CL5,CL3,CL3,CL2
203,40,M,Uni,0.96,-0.32,-0.68,1.29,CL6,CL0,CL0,CL3
204,192,F,B21,0.96,-0.32,-1.55,-1.09,CL5,CL0,CL0,CL0
205,25,M,Uni,0.96,-0.32,-0.15,0.96,CL5,CL2,CL2,CL2
206,38,M,L21,0.96,-0.32,-0.15,1.11,CL5,CL0,CL0,CL3
207,20,M,Uni,0.96,-0.32,-0.05,1.29,CL5,CL0,CL0,CL0
208,40,M,PD,0.96,-0.32,-0.68,0.48,CL5,CL1,CL4,CL1
209,37,M,Uni,0.96,-0.32,0.14,0.0,CL4,CL1,CL1,CL0
210,25,F,Msc,0.96,5.00,-1.44,0.48,CL0,CL0,CL0,CL0
211,33,M,CD,0.96,-0.32,0.74,0.17,CL3,CL0,CL0,CL0
212,47,M,L21,0.96,-0.32,-0.68,-0.58,CL5,CL0,CL0,CL0
213,33,M,PD,0.96,-0.32,0.14,0.64,CL6,CL1,CL1,CL0
214,45,M,PD,0.21,-0.32,0.52,-0.15,CL5,CL0,CL0,CL1
215,28,M,PD,0.96,-0.32,-0.15,1.11,CL5,CL0,CL0,CL0
216,33,M,Uni,0.25,-0.32,1.6,-0.3,CL5,CL2,CL0,CL0
217,30,M,ZQ,0.96,-0.32,0.22,1.11,CL5,CL1,CL1,CL0
218,44,F,PN,0.96,-0.32,1.23,0.81,CL2,CL1,CL1,CL1
219,27,M,ZQ,-0.29,-0.32,0.31,1.11,CL4,CL0,CL0,CL0
220,39,M,IL,0.96,-0.32,-0.35,-0.58,CL6,CL1,CL1,CL1
221,20,M,Uni,0.96,-0.32,0.83,-0.3,CL5,CL0,CL2,CL0
222,30,M,Uni,0.96,-0.32,-0.15,0.48,CL3,CL0,CL0,CL0
223,38,M,Uni,0.96,-0.32,-0.25,0.64,CL6,CL2,CL0,CL0
224,60,F,Uni,0.96,-0.32,-1.19,1.11,CL1,CL0,CL0,CL0
225,46,M,Uni,0.96,-0.32,-0.47,1.45,CL5,CL0,CL0,CL0
226,44,M,Uni,0.96,-0.32,-1.33,0.64,CL6,CL1,CL0,CL0
227,54,M,Uni,0.96,-0.32,-0.47,0.48,CL5,CL0,CL0,CL0
228,20,F,CD,0.96,-0.32,0.22,0.96,CL5,CL0,CL0,CL0
229,52,F,Msc,0.96,-0.32,-0.68,0.32,CL6,CL1,CL1,CL1
230,53,M,Uni,0.96,-0.32,-1.05,1.45,CL6,CL0,CL0,CL0
231,39,M,PD,0.96,-0.32,1.02,-2.21,CL5,CL0,CL0,CL2
232,146,M,Msc,0.96,-0.32,0.14,-1.09,CL6,CL0,CL0,CL1
233,27,M,Uni,0.96,-0.32,0.04,1.29,CL5,CL1,CL0,CL0
234,51,F,Uni,0.96,-0.32,-0.68,0.81,CL6,CL0,CL0,CL0
235,34,M,Uni,0.96,-0.32,0.42,0.96,CL4,CL0,CL0,CL0
236,30,M,PD,0.96,-0.32,0.04,0.96,CL5,CL0,CL0,CL3
237,26,M,Msc,0.96,-0.32,1.49,0.32,CL6,CL0,CL0,CL0
238,25,M,L21,0.96,-0.32,0.91,-0.15,CL5,CL1,CL1,CL0
239,21,M,L23,0.96,-0.32,0.52,-0.15,CL4,CL0,CL0,CL0
240,50,M,PD,0.96,-0.32,-1.87,0.64,CL5,CL0,CL0,CL0
241,43,M,Msc,0.96,5.00,0.63,-1.23,CL4,CL0,CL0,CL0
242,26,M,L23,-0.29,5.00,2.13,-1.23,CL5,CL0,CL0,CL0
243,21,M,CD,0.96,-0.32,1.49,-1.51,CL5,CL0,CL0,CL0
244,31,M,Uni,0.96,-0.32,-0.58,1.11,CL5,CL3,CL1,CL2
245,42,F,Uni,0.96,-0.32,1.98,-1.51,CL5,CL0,CL0,CL3
246,30,M,CD,0.96,-0.32,-0.25,-0.95,CL5,CL1,CL0,CL0
247,33,M,PD,0.96,-0.32,1.37,-0.7,CL5,CL0,CL0,CL2
248,51,F,Msc,0.96,-0.32,-0.92,-0.3,CL6,CL0,CL0,CL0
249,52,M,PhD,0.96,-0.32,-2.42,0.17,CL5,CL0,CL0,CL0
250,51,M,PD,0.96,-0.32,1.13,0.32,CL5,CL0,CL0,CL0
